カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アンゴスツーラ	ビギンズ	地N	G70	20	60	-	武巻	防御型 ; 即死最大HP30以下
ウッドフォーク	ビギンズ	地N	G50	30	30	-	武	援護
オドラデク	ビギンズ	地R	G30	20	20	-	-	援護[無属性地属性] ; HP、最大HPはスペルの効果を受けない
ガーゴイル	ビギンズ	地S	G80+地	30	50	-	-	先制 ; このクリーチャーが防御側の場合、戦闘中、AT=50
カーバンクル	ビギンズ	地N	G20	20	20	-	-	援護 ; 魔術反射
カーバンフライ	ビギンズ	地E	G100+火火	40	40	-	巻	先制 ; 魔術反射 ; 戦闘で破壊された場合、「地属性カーバンクル」として復活する
ギガンテリウム	ビギンズ	地S	G80+地	50	60	-	巻	戦闘中、クリーチャーに呪いスペル効果が付いている場合、このクリーチャーのHP-20
グーバ	ビギンズ	地E	G0	0	10	-	武巻	-
グーバクイーン	ビギンズ	地S	G30+地地	10	40	-	武	領地能力 : 選んだ空地に「地属性グーバ」を配置する(G20)
クズーフォーク	ビギンズ	地R	G80	30	30	-	-	使用者の持つ領地数が4以下の時に戦闘で破壊された場合、「地属性グリーンモールド」として復活する
グリーンモールド	ビギンズ	地N	G30	10	50	-	武巻	防御型 ; 再生
グリマルキン	ビギンズ	地S	G40+地	20	30	-	-	防魔 ; 援護[無属性地属性]
グレートタスカー	ビギンズ	地N	G80+地	60	50	-	巻	攻撃無効[先制を持つクリーチャー]
ケルベロス	ビギンズ	地R	G50+地	20	40	風	巻	攻撃を2回行う
コアティ	ビギンズ	地R	G30+地	30	30	-	-	戦闘中、このクリーチャーのAT+(配置地属性クリーチャーの数×5)
コカトリス	ビギンズ	地S	G50+地	30	40	-	巻	攻撃成功時、相手クリーチャーを「地属性ストーンウォール」に変身させる
サクヤ	ビギンズ	地R	G60+地	20	30	風	-	援護 ; 領地能力 : 対象の自領地を地属性土地にする(G120)
サンドマン	ビギンズ	地S	G40+地	30	30	-	-	防魔 ; このクリーチャーのHP、最大HPはスペルの効果を受けない
ジャッカロープ	ビギンズ	地S	G40	20	30	-	-	援護 ; スペルで破壊された場合、「地属性ハンババ」として復活する
シャンブリングバイン	ビギンズ	地R	G50+地地	20	40	-	武巻	貫通[火属性地属性] ; 戦闘中、AT+(使用者の持つ地属性土地領地数×10) ; 戦闘中、クリーチャーに呪いスペル効果が付いている場合、HP+20
ストーンウォール	ビギンズ	地N	G30	0	60	-	防巻	防御型
セージ	ビギンズ	地R	G50	20	30	-	-	援護[無属性地属性] ; 戦闘中、アイテム破壊とアイテム盗みの効果は発動しない
ダークマスター	ビギンズ	地R	G120+地地+□	60	80	風	-	魔術強打 ; 応援[地属性] : AT+10 ; 戦闘終了時、使用者はG100の魔力を失う
タイガービートル	ビギンズ	地N	G20	20	30	-	巻	-
テラアコライト	ビギンズ	地N	G60	30	30	-	-	禁術 : 30ダメージ ; 魔術強打[地属性]
テラゴエティア	ビギンズ	地S	G70+地	20	40	-	-	禁術 : 40ダメージ ; 援護[無属性地属性] ; 戦闘中、相手クリーチャーの攻撃成功時能力は発動しない
トウテツ	ビギンズ	地R	G50+地	40	40	風	-	戦闘で相手クリーチャーを破壊した時、基本AT、最大HPが20増加する
ドラゴンゾンビ	ビギンズ	地S	G90	40	60	風	防	-
ドリアード	ビギンズ	地N	G50	20	30	風	武	援護[無属性地属性] ; クリーチャー移動で離れた地属性土地の空き地へ移動できる
トロル	ビギンズ	地N	G60	40	40	火風	-	再生
ドワーフ	ビギンズ	地N	G70	30	50	-	-	-
ノーム	ビギンズ	地N	G40	20	40	-	-	このクリーチャーを配置した領地の通行料は1.5倍になる
バジリスク	ビギンズ	地R	G50+地地	30	40	-	防	即死(成功率40%) ; 戦闘終了時、戦闘が行われた領地のレベルを1下げる
バロン	ビギンズ	地S	G60+地	20	50	-	-	このクリーチャーを配置した領地は、地形変化やレベルを下げる効果を受けない ; 戦闘で破壊された時、手札に復帰する
バンパイア	ビギンズ	地R	G60+地	40	40	水風	防	先制 ; 攻撃成功時、このクリーチャーのHP+(相手クリーチャーに与えたダメージ)
ハンババ	ビギンズ	地R	G50+地+□	50	40	風	-	応援[風属性] : AT-10 ; 攻撃成功時、相手クリーチャーに呪いスペル毒の効果を付ける
ヒーラー	ビギンズ	地S	G40	10	40	-	-	再生 ; 領地能力 : 対象クリーチャーのHPを30回復する(G10)
ブリンクス	ビギンズ	地N	G30	20	20	-	巻	防魔 ; クリーチャー移動で離れた空き地へ移動できる
マッドマン	ビギンズ	地S	G55	20	40	風	防	戦闘中、HP+(配置地属性クリーチャーの数×5)
マンドレイク	ビギンズ	地R	G60+地	10	50	-	武	戦闘終了時、HPが20以下の場合、相手クリーチャーと自分を破壊する
ランドアーチン	ビギンズ	地S	G60	20	50	-	巻	防御型 ; 領地能力 : 対象敵クリーチャーに呪いスペル移動不可の効果を付ける(G40) ; このクリーチャーは移動侵略を受けない
ワーボア	ビギンズ	地S	G80	20	40	-	-	戦闘中、AT+30
