カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アベンジャー	ビギンズ	火S	G80	30	30	-	-	戦闘中、AT&HP+(使用者の順位×10)
アレス	ビギンズ	火R	G80+火火	50	60	水	-	応援[侵略側] : AT+20
ウィルオーウィスプ	ビギンズ	火S	G60	10	50	-	武	後手 ; 攻撃成功時、相手セプターからこのクリーチャーの残りHP×G2の魔力を奪う
エグゼクター	ビギンズ	火N	G40+□	70	20	-	武	-
オールドウィロウ	ビギンズ	火R	G40+火火	20	40	-	武道巻	防御型 ; 火属性土地土地に配置した場合、使用者以外の通過セプターをその領地に止まらせる
ガスクラウド	ビギンズ	火N	G40	30	30	-	防	攻撃無効(ダメージの50%)
キメラ	ビギンズ	火S	G80+火	30	50	-	巻	先制 ; 使用者が周回ボーナスを得る度に、配置されているこのクリーチャーの基本ATが10増加する
キングバラン	ビギンズ	火S	G90	60	50	-	防巻	-
グラディエーター	ビギンズ	火R	G70	40	40	-	防道巻	強打[火属性水属性地属性風属性]
ケットシー	ビギンズ	火S	G50	20	30	水	-	防魔 ; 攻撃無効[基本AT40以上]
ケマゾツ	ビギンズ	火S	G50+火	20	40	-	防	戦闘中、基本AT+(相手クリーチャーのAT) ; 戦闘で相手クリーチャーを破壊した時、相手セプターは最も多く持つ護符1種を30%失う
ゴーレム	ビギンズ	火N	G70	40	50	-	-	戦闘終了時、基本ATが10減少する
コボルド	ビギンズ	火N	G20	20	30	-	-	-
コンジャラー	ビギンズ	火R	G40	20	30	-	武	魔術強打 ; 領地能力 : 選んだ空地に「火属性バ=アル」を配置し、自分は破壊される(G80)
サラマンダー	ビギンズ	火N	G60+火	40	50	水	防	攻撃無効[火属性] ; このクリーチャーの攻撃無効の発動時、HP+(無効にしたダメージ)
サングィボア	ビギンズ	火R	G70+火	20	30	-	防	魔術強打 ; 領地能力 : 対象敵クリーチャーの最大HPを10低下させる(G50)
ジャガーノート	ビギンズ	火R	G70+火	30	60	-	防	強打[基本AT40以上] ; 即死[防御型を持つクリーチャー] ; 周回回復できない
シャラザード	ビギンズ	火S	G40	20	30	-	-	援護[無属性火属性] ; 領地能力 : 全てのセプターに付いている呪いスペル効果を消す(G30)
ソン=ギョウジャ	ビギンズ	火R	G40	0	30	-	-	援護 ; 援護したクリーチャーの能力を発動させる
ドモビー	ビギンズ	火R	G10	10	20	-	-	領地能力 : 対象クリーチャーに呪いスペル防魔の効果を付ける(G80)
ドモボーイ	ビギンズ	火S	G10	20	20	-	-	領地能力 : 対象クリーチャーに呪いスペルHP固定の効果を付ける(G30)
ドラゴン	ビギンズ	火R	G90+火火	40	60	水	防	先制 ; 侵略側の場合、戦闘中AT+20、HP-20
ドラゴンフライ	ビギンズ	火N	G20	30	20	-	巻	先制
ナーチャ	ビギンズ	火R	G70+火	20	30	-	-	貫通 ; 使用者の領地が相手セプターより2つ以上少ない場合、戦闘中AT+30 ; 戦闘で相手クリーチャーを破壊した時、最大HPが10増加する
バ=アル	ビギンズ	火S	G60+火+□	50	50	-	-	先制 ; 戦闘終了時、使用者の手札をランダムに1枚破壊する
バーナックル	ビギンズ	火N	G70	30	50	-	-	防御型 ; 領地能力 : 対象敵クリーチャーに呪いスペル通行料減少の効果を付ける(G50)
バルキリー	ビギンズ	火S	G60+火	30	30	-	-	先制 ; 援護[無属性火属性] ; 戦闘で相手クリーチャーを破壊した時、基本ATが10増加する
ピラーフレイム	ビギンズ	火N	G30	30	50	-	防巻	防御型
ファイアージャイアント	ビギンズ	火N	G80+火	50	50	-	-	強打[水属性]
ファイアービーク	ビギンズ	火R	G80+火	40	40	-	防巻	先制 ; 貫通[水属性風属性] ; 強打[水属性風属性]
フェイ	ビギンズ	火N	G50	20	40	水	-	魔術強打 ; 領地能力 : 対象クリーチャーの基本AT+20を20増加させる(G50)
フェニックス	ビギンズ	火N	G40	30	30	-	巻	戦闘で破壊された時、手札に復帰する
フレイムアコライト	ビギンズ	火N	G60	30	30	-	-	禁術 : 30ダメージ ; 魔術強打[火属性]
フレイムゴエティア	ビギンズ	火S	G50+火火	40	40	-	-	禁術 : 40ダメージ ; 使用者のブックの残り枚数が相手セプターより多かった場合、戦闘中、このクリーチャーのATとHP+20
フレイムロード	ビギンズ	火R	G120+火火+□	70	70	水	-	魔術強打 ; 応援[火属性] : HP+10 ; 戦闘終了時、使用者はG100の魔力を失う
ヘルハウンド	ビギンズ	火N	G60	50	40	-	-	水属性クリーチャーに対し50%のダメージしか与えられない
マトックテイル	ビギンズ	火S	G70+火	30	40	-	-	先制 ; 戦闘で相手クリーチャーを破壊した時、戦闘が行われた領地のレベルを1上げる
マンティコア	ビギンズ	火N	G80	40	50	-	-	戦闘中、AT&HP=(使用者の手札の数×10)
ミノタウロス	ビギンズ	火N	G60	40	40	-	-	-
ラーバワーム	ビギンズ	火S	G60+火	40	50	-	防	貫通[水属性]
