カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アーチビショップ	ビギンズ	無R	G50	30	30	-	-	領地能力 : 対象クリーチャーに付いた呪いスペル効果を消す(G30) ; 戦闘中、アイテム破壊とアイテム盗みの効果は発動しない
アビサルモナーク	ビギンズ	無E	G80+□	50	50	-	-	禁術 : 50ダメージ ; 戦闘開始時、相手セプターが使用した武器・道具アイテムを破壊する ; どの属性の土地からも地形効果を得る
アンバーモス	ビギンズ	無S	G30	0	40	-	巻	戦闘中、「無属性ティラノサウルス」か「無属性ジャイアントラット」に変身する
ウルフ	ビギンズ	無N	G10	20	40	-	巻	-
オニキス	ビギンズ	無E	G100	40	40	-	-	強打[最大HP40以上] ; 魔術無効 ; どの属性の土地からも地形効果を得る
グレートフォシル	ビギンズ	無R	G40+□	0	30	-	武巻	防御型 ; このクリーチャーを配置した領地の通行料は0になる ; 戦闘で破壊された場合、「無属性ティラノサウルス」として復活する
クレリック	ビギンズ	無S	G50	10	30	-	-	援護 ; 即死[無属性]
ゴールドトーテム	ビギンズ	無N	G0	0	30	-	武	防御型 ; 領地能力 : 使用者にG400を与え、自分は破壊される(G0)
ゴブリン	ビギンズ	無N	G0	20	30	-	-	-
コロッサス	ビギンズ	無R	G110	70	70	-	武防道巻	後手 ; 周回回復できない
サムライ	ビギンズ	無R	G50	50	30	-	-	即死基本AT40以上
シーフ	ビギンズ	無N	G30	20	40	-	-	アイテムを使用しない場合、戦闘開始時、相手セプターが使用したアイテムを盗んで使う
ジャイアントスパイダー	ビギンズ	無N	G30	10	40	-	-	攻撃成功時、相手クリーチャーに呪いスペルマヒの効果を付ける
ジャイアントラット	ビギンズ	無N	G0	20	10	-	巻	先制
スケルトン	ビギンズ	無N	G30	30	40	-	-	再生
スタチュー	ビギンズ	無N	G10	0	50	-	武防巻	防御型 ; 周回回復できない
スチームギア	ビギンズ	無S	G60	50	50	-	巻	このクリーチャーを配置した領地の通行料は0.5倍になる
ゾンビ	ビギンズ	無N	G20	20	50	-	巻	戦闘終了時、HPが20減少する
ティラノサウルス	ビギンズ	無S	G60	50	60	-	防巻	-
デコイ	ビギンズ	無S	G40+□	0	10	-	武防巻	攻撃反射
ドッペルゲンガー	ビギンズ	無S	G20+□	0	30	-	-	戦闘中、相手クリーチャーと同じクリーチャーに変身する
トロージャンホース	ビギンズ	無S	G50	0	30	-	武防巻	援護 ; 貫通
ニンジャ	ビギンズ	無S	G60	40	40	-	-	先制 ; 魔術強打
バトルギアα	ビギンズ	無S	G60	40	20	-	巻	防魔 ; 援護 ; 「無属性バトルギアβ」に援護された時、合体して「無属性バンドルギア」になる
バトルギアβ	ビギンズ	無S	G60	20	40	-	巻	援護 ; 魔術無効 ; 「無属性バトルギアα」に援護された時、合体して「無属性バンドルギア」になる
バルダンダース	ビギンズ	無N	G10	0	30	-	-	戦闘中、ランダムにな別のクリーチャーに変身する
バンディット	ビギンズ	無N	G20	20	20	-	-	援護 ; 攻撃成功時、相手クリーチャーに与えたダメージ×G2の魔力を相手セプターから奪う
バンドルギア	ビギンズ	無E	G250	70	70	-	-	防魔 ; 魔術無効
ビーコンタワー	ビギンズ	無S	G50	10	60	-	-	防御型 ; 領地能力 : 使用者に、呪いスペル全領地開発の効果を付ける(G50)
ファイター	ビギンズ	無N	G30	40	40	-	-	-
ボージェス	ビギンズ	無R	G40	30	30	-	-	応援[無属性] : HP+20
ホーンカメレオン	ビギンズ	無N	G30	20	30	-	巻	どの属性の土地からも地形効果を得る
リトルグレイ	ビギンズ	無R	G50+□	10	30	-	-	攻撃成功時、50%の確率で相手クリーチャーをランダムな空地に飛ばす
ルナティックヘア	ビギンズ	無R	G20	20	30	-	-	戦闘終了時、相手クリーチャーの基本ATとHPを入れ替える
レッドキャップ	ビギンズ	無S	G50+□	30	30	-	-	応援[無属性ゴブリン] : AT+20 ; 戦闘中、AT&HP=(配置されている「無属性ゴブリン」の数×20)
ワーウルフ	ビギンズ	無S	G30+□	30	30	-	-	攻撃成功時、相手クリーチャーを「無属性ウルフ」に変身させる
ワンダーウォール	ビギンズ	無R	G10+□	0	30	-	武防	防御型 ; 攻撃無効[火属性水属性地属性風属性]
