カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アイスウォール	ビギンズ	水N	G30	0	40	-	防巻	防御型 ; 戦闘中、HP+20
アスピドケロン	ビギンズ	水S	G60+水	30	40	地	巻	戦闘中、AT&HP+(ラウンド数)
アヌビアス	ビギンズ	水S	G50+水	30	50	火	-	戦闘中、HP=(今までに破壊されたクリーチャーの数x5)
アプサラス	ビギンズ	水R	G40+水	20	30	-	武道	攻撃無効[戦闘が行われた領地がレベル3以上]
アマビエ	ビギンズ	水	G70	10	40	-	-	領地能力：対象クリーチャーのHP&最大HPを10増加させる（G40）；戦闘終了時、相手クリーチャーがこの戦闘に残っている場合、{水}の空き地に飛ぶ
アンダイン	ビギンズ	水N	G50	30	30	-	防	攻撃無効[{水}] ; 戦闘中、HP=(使用者の持つ{水}領地数x20)
キングトータス	ビギンズ	水N	G40	10	50	-	巻	後手
クラーケン	ビギンズ	水S	G80+水	50	50	火	巻	使用者が{火}領地を持つ場合、戦闘中、HP-20 : 無効化[{無}]
ケルピー	ビギンズ	水R	G60+水	30	30	-	巻	{水}土地に配置した場合、使用者以外の通過セプターをその領地に止まらせる
ジャイアントアメーバ	ビギンズ	水N	G50	30	30	-	巻	攻撃無効[{火}{地}]
ジャイアントイール	ビギンズ	水N	G80	30	50	-	巻	攻撃無効[{地}{風}]
ジャイアントノーチラス	ビギンズ	水S	G80	10	70	火	武巻	-
ストームジャイアント	ビギンズ	水N	G90+水	40	60	-	-	強打[{火}]
ゼラチンウォール	ビギンズ	水N	G40	10	50	-	武巻	防御型 ; 戦闘終了時、相手クリーチャーから受けた攻撃ダメージxG5の魔力を得る
ダゴン	ビギンズ	水R	G140+水+水+□	60	80	火	-	応援[{水}・HP+10] : 戦闘終了時、使用者はG100の魔力を失う
デスキート	ビギンズ	水N	G50	30	20	-	巻	先制 ; 攻撃成功時、相手セプターの手札をランダムに1枚破壊する
トリトン	ビギンズ	水N	G70	30	40	-	-	巻物強打[全] ; アイテムを使用した場合、戦闘終了時、使用者はカードを1枚引く
ドルール	ビギンズ	水S	G50	0	30	-	武巻	貫通 ; 戦闘中、AT=(使用者の持つ{水}領地数x10)
ヒドラ	ビギンズ	水S	G90	40	50	-	防	再生 (戦闘の行われた領地が{火}でない場合)
フェイト	ビギンズ	水S	G60	10	40	-	-	自破壊時、使用者はカードを1枚引く ; 秘術[G40・使用者はカードを1枚引く]
パイレート	ビギンズ	水N	G30	10	30	-	-	援護[{無}{水}]
ブラッドプリン	ビギンズ	水S	G30	20	20	-	巻	援護 ; 戦闘開始時、援護したクリーチャーのHP分、最大HPが増加する
ペールグロブスター	ビギンズ	水	?	-	-	-	-	-
ベヒーモス	ビギンズ	水S	G70+水	60	60	火	防巻	後手 ; 戦闘終了時、使用者の手札をランダムに1枚破壊する
マーフォーク	ビギンズ	水N	G20	20	30	-	-	-
メガロドン	ビギンズ	水N	G60	50	50	火地風	巻	-
メデューサ	ビギンズ	水S	G40+□	30	30	-	-	攻撃成功時、相手クリーチャーを"スタチュー"に変身させる
リザードマン	ビギンズ	水N	G70	30	40	-	-	先制
リバイアサン	ビギンズ	水R	G100+水+水	40	60	-	防	敵破壊時、戦闘が行われた領地を{水}に変える
リリス	ビギンズ	水S	G70	0	30	-	防	先制 ; 戦闘中、AT=(使用者の手札の数x10)
