カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アースシフト	ビギンズ	単瞬N	G60	-	-	-	-	対象自領地を{地}に変える
アイスストーム	ビギンズ	複瞬S	G80	-	-	-	-	全ての{火}クリーチャーに20ダメージ
アンチエレメント	ビギンズ	単呪S	G50	-	-	-	-	対象クリーチャーは地形効果を得られない : カードを1枚引く
イビルブラスト	ビギンズ	単瞬R	G100	-	-	-	-	対象敵クリーチャーに30ダメージ
イレイジャー	ビギンズ	複瞬E	G50	-	-	-	-	クリーチャーとセプターに付いた全ての{呪}効果を消す
インフルエンス	ビギンズ	単瞬S	G80	-	-	-	-	対象領地をその所有者が最も多く持つ領地の属性に変える
ウォーターシフト	ビギンズ	単瞬N	G60	-	-	-	-	対象自領地を{水}に変える
エアーシフト	ビギンズ	単瞬N	G60	-	-	-	-	対象自領地を{風}に変える
エクスプロード	ビギンズ	複瞬S	G80	-	-	-	-	全ての{水}クリーチャーに20ダメージ
エスケープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い空き地に飛ぶ (使用者はこのターンのダイスを使えない)
エクスチェンジ	ビギンズ	単瞬S	G60	-	-	-	-	対象自クリーチャーを手札のクリーチャーと交換する
オーロラ	ビギンズ	複瞬S	G50	-	-	-	-	全ての護符の価値を20%上げる
ギフト	ビギンズ	単瞬S	G80	-	-	-	-	自分の現在の順位×G50の魔力を得る；自分の現在の順位と同じ枚数のカードを引く
クインテッセンス	ビギンズ	単瞬S	G60	-	-	-	-	レベル4以下の対象領地を{複}に変える
グリード	ビギンズ	単呪N	G20	-	-	-	-	対象クリーチャーに、{呪}通行料増加の効果を付ける (通行料が1.5倍になる) ; カードを1枚引く
グレース	ビギンズ	単瞬N	G30	-	-	-	-	使用者は対象セプターの持つ護符総額の15%の魔力を得る
グロースボディ	ビギンズ	単瞬N	G20	-	-	-	-	対象クリーチャーのMHP+10 (最大100)
サブサイド	ビギンズ	単瞬R	G100+□	-	-	-	-	対象敵セプターの最もレベルの高い領地のうち1つのレベルを1下げる ; 合成["サブサイド"・対象は"全てのセプターそれぞれ"となる]
サンダーストーム	ビギンズ	複瞬S	G80	-	-	-	-	全ての{地}クリーチャーのHP-20
シャッター	ビギンズ	単瞬N	G30	-	-	-	-	対象敵セプターの手札からアイテムかスペルカードを1枚選び、破壊する
シュリンク	ビギンズ	単瞬N	G30	-	-	-	-	対象敵クリーチャーのMHP-10
スピリットウォーク	ビギンズ	単呪S	G20	-	-	-	-	対象クリーチャーに、{呪}空中歩行の効果を付ける (クリーチャー移動で離れた空き地に移動できる)
スロウ	ビギンズ	単呪N	G20	-	-	-	-	対象セプターに、{呪}ダイス制限1～3の効果を付ける (次から2回のダイスが1～3になる)
スクイーズ	ビギンズ	単瞬S	G50	-	-	-	-	対象セプターの手札からカードを1枚選び、破壊する；カードを破壊されたセプターはG150の魔力を得る
デスクラウド	ビギンズ	複瞬S	G80	-	-	-	-	全ての{風}クリーチャーのHP-20
ディジーズ	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}衰弱の効果を付ける (戦闘中、AT&HPが-20される) ; カードを1枚引く
テンペスト	ビギンズ	複瞬R	G200	-	-	-	-	AT40以下の全てのクリーチャーに20ダメージ
トライアンフ	ビギンズ	単呪N	G20	-	-	-	-	城を通過するまで、使用者の次の周回ボーナスは1.5倍になる
ドレインマジック	ビギンズ	単瞬S	G80	-	-	-	-	使用者は対象敵セプターから、所持魔力の30%を奪う
パーミッション	ビギンズ	単瞬N	G100	-	-	-	-	使用者は全ての砦を通過したことになる
バインドミスト	ビギンズ	単呪S	G40	-	-	-	-	対象クリーチャーに{呪}"戦闘行動不可"をつける (攻撃やアイテム使用ができず、能力が発動しない)
ピース	ビギンズ	単呪S	G70	-	-	-	-	対象クリーチャーに、{呪}停戦の効果を付ける(対象のいる領地は侵略を受けなくなり、通行料がG0になる)
ドラウト	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}土地レベル固定の効果を付ける (対象のいる領地がレベル変更できない) ; カードを1枚引く
バイタリティ	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}増強の効果を付ける (戦闘中、AT&HPが+20される) ; カードを1枚引く
バニシングレイ	ビギンズ	単瞬S	G70	-	-	-	-	対象の{無}クリーチャーを破壊する
バニッシャー	ビギンズ	複瞬R	G100	-	-	-	-	全ての{呪}効果が付いたクリーチャーに20ダメージ
バリアー	ビギンズ	単呪N	G30	-	-	-	-	対象セプターに、5ラウンドの間、{呪}防魔の効果を付ける (対象を選ぶスペルや領地能力で選択されない)
ファイアーシフト	ビギンズ	単瞬N	G60	-	-	-	-	対象自領地を{火}に変える
ファンタズム	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}HP固定の効果を付ける(HP、最大HPがスペルの効果を受けなくなる)
フォーサイト	ビギンズ	単瞬N	G30	-	-	-	-	使用者のブックの上から6枚を見て、1枚選び、手札に加える
フォッグ	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}通行料減少の効果を付ける(対象のいる領地の通行料が0.5倍になる)：カードを1枚引く
フォレストリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{地}土地に飛ぶ (使用者はこのターンのダイスを使えない)
フェアリーライト	ビギンズ	単呪N	G60	-	-	-	-	使用者に、{呪}魔力補給の効果を付ける (城を通過するまで毎ラウンド、手札の数xG10の魔力を得る)
ブラックアウト	ビギンズ	単呪S	G40	-	-	-	-	対象敵セプターに、{呪}通行料封印の効果を付ける (2ラウンドの間、通行料を得られない)
ブラックスミス	ビギンズ	単瞬N	G50	-	-	-	-	対象セプターの手札からカードを1枚選び、ランダムな武器・防具に変える
フライ	ビギンズ	単瞬S	G50	-	-	-	-	使用者はこのターンダイスを2つ使い、その合計分進める
プレーンリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{風}土地に飛ぶ(使用者はこのターンのダイスを使えない)
プロフェシー	ビギンズ	単瞬R	G40	-	-	-	-	使用者のブックから、選んだタイプのカードを1枚引く
